Data;Hora;Sensor;ConsumoWH
26/06/2025;11,60;Quarto 01;17400,00
27/06/2025;14,88;Quarto 01;22325,00
28/06/2025;14,73;Quarto 01;22100,00
29/06/2025;12,98;Quarto 01;19475,00
30/06/2025;10,05;Quarto 01;15075,00
01/07/2025;1,35;Quarto 01;2025,00
02/07/2025;9,73;Quarto 01;14600,00
03/07/2025;20,43;Quarto 01;30650,00
04/07/2025;6,13;Quarto 01;9200,00
05/07/2025;10,32;Quarto 01;15475,00
06/07/2025;1,42;Quarto 01;2125,00
07/07/2025;0,00;Quarto 01;0,00
08/07/2025;9,78;Quarto 01;14675,00
09/07/2025;16,97;Quarto 01;25450,00
10/07/2025;15,92;Quarto 01;23875,00
11/07/2025;5,63;Quarto 01;8450,00
12/07/2025;0,00;Quarto 01;0,00
13/07/2025;15,48;Quarto 01;23225,00
14/07/2025;16,73;Quarto 01;25100,00
15/07/2025;10,17;Quarto 01;15250,00
16/07/2025;9,95;Quarto 01;14925,00
17/07/2025;18,38;Quarto 01;27575,00
18/07/2025;9,35;Quarto 01;14025,00
19/07/2025;12,73;Quarto 01;19100,00
20/07/2025;13,43;Quarto 01;20150,00
21/07/2025;19,20;Quarto 01;28800,00
22/07/2025;10,03;Quarto 01;15050,00
23/07/2025;1,27;Quarto 01;1900,00
24/07/2025;0,60;Quarto 01;900,00
25/07/2025;19,92;Quarto 01;29875,00
26/07/2025;1,85;Quarto 01;2775,00
27/07/2025;13,15;Quarto 01;19725,00
28/07/2025;10,52;Quarto 01;15775,00
29/07/2025;20,70;Quarto 01;31050,00
30/07/2025;11,52;Quarto 01;17275,00
31/07/2025;0,00;Quarto 01;0,00
